_BINARY_OP_MULTIPLY_FLOAT,_GUARD_BOTH_FLOAT
_STORE_FAST_2,_SET_IP
_FOR_ITER_TIER_TWO,_CHECK_VALIDITY
_CHECK_STACK_SPACE,_INIT_CALL_PY_EXACT_ARGS_1
_INIT_CALL_PY_EXACT_ARGS_1,_SAVE_RETURN_OFFSET
_CHECK_VALIDITY,_POP_TOP
_CHECK_VALIDITY,_JUMP_TO_TOP
_LOAD_ATTR,_CHECK_VALIDITY_AND_SET_IP
_CALL_METHOD_DESCRIPTOR_NOARGS,_CHECK_PERIODIC
_LOAD_CONST_INLINE_BORROW,_LOAD_FAST
_LOAD_FAST_5,_GUARD_TYPE_VERSION
_STORE_FAST_3,_LOAD_FAST_3
_LOAD_CONST_INLINE_BORROW,_BINARY_SUBSCR_LIST_INT
_LOAD_FAST,_BINARY_OP_MULTIPLY_FLOAT
_LOAD_CONST_INLINE_BORROW,_STORE_FAST
_SET_IP,_BUILD_LIST
_BINARY_SUBSCR_LIST_INT,_LOAD_CONST_INLINE_BORROW
_CALL_ISINSTANCE,_CHECK_VALIDITY
_SET_IP,_CALL_ISINSTANCE
_STORE_FAST,_LOAD_CONST_INLINE_BORROW
_STORE_FAST,_LOAD_FAST_6
_LOAD_FAST_5,_SET_IP
_CHECK_VALIDITY_AND_SET_IP,_LOAD_GLOBAL
_LOAD_GLOBAL,_CHECK_VALIDITY
_SET_IP,_CALL_METHOD_DESCRIPTOR_NOARGS
_LOAD_ATTR_INSTANCE_VALUE_0,_LOAD_FAST_1
_COPY,_BINARY_SUBSCR_LIST_INT
_STORE_FAST,_LOAD_FAST_1
_LOAD_FAST_1,_LOAD_FAST_2
_SET_IP,_POP_FRAME
_LOAD_FAST_6,_LOAD_FAST
_STORE_FAST_5,_LOAD_FAST_5
_BINARY_SUBSCR_LIST_INT,_STORE_FAST
_LOAD_FAST_7,_SET_IP
_LOAD_CONST_INLINE_BORROW_WITH_NULL,_LOAD_FAST_1
_LOAD_ATTR_METHOD_WITH_VALUES,_LOAD_FAST
_LOAD_FAST_5,_LOAD_CONST_INLINE
_RESUME_CHECK,_LOAD_CONST_INLINE_BORROW_WITH_NULL
_LOAD_FAST_1,_CALL_TYPE_1
_CALL_TYPE_1,_STORE_FAST_5
_LOAD_ATTR_INSTANCE_VALUE_0,_GUARD_TYPE_VERSION
_GUARD_IS_FALSE_POP,_CHECK_FUNCTION
_STORE_FAST_4,_LOAD_FAST_4
_GUARD_IS_TRUE_POP,_EXIT_TRACE
_TO_BOOL_INT,_GUARD_IS_TRUE_POP
_LOAD_FAST,_TO_BOOL_INT
_PUSH_NULL,_LOAD_FAST_0
_STORE_FAST_5,_LOAD_FAST_3
_CHECK_VALIDITY_AND_SET_IP,_BINARY_SUBSCR
_LOAD_FAST_2,_TO_BOOL_BOOL
_CHECK_VALIDITY,_GUARD_BOTH_FLOAT
_LOAD_FAST_1,_LOAD_FAST_4
_SET_IP,_BINARY_SUBSCR_DICT
_CHECK_VALIDITY,_UNPACK_SEQUENCE_TWO_TUPLE
_SET_IP,_GUARD_TYPE_VERSION
_LOAD_ATTR_INSTANCE_VALUE_0,_SET_IP
